Date,Open,High,Low,Close,Adj Close,Volume
2014-10-23,104.080002,105.050003,103.629997,104.830002,96.191689,71074700
2014-10-24,105.180000,105.489998,104.529999,105.220001,96.549545,47053900
2014-10-27,104.849998,105.480003,104.699997,105.110001,96.448616,34187700
2014-10-28,105.400002,106.739998,105.349998,106.739998,97.944298,48060900
2014-10-29,106.650002,107.370003,106.360001,107.339996,98.494850,52687900
2014-10-30,106.959999,107.349998,105.900002,106.980003,98.164513,40654800
2014-10-31,108.010002,108.040001,107.209999,108.000000,99.100471,44639300
2014-11-03,108.220001,110.300003,108.010002,109.400002,100.385109,52282600
2014-11-04,109.360001,109.489998,107.720001,108.599998,99.651047,41574400
2014-11-05,109.099998,109.300003,108.129997,108.860001,99.889618,37435900
2014-11-06,108.599998,108.790001,107.800003,108.699997,100.175293,34968500
2014-11-07,108.750000,109.320000,108.550003,109.010002,100.460983,33691500
2014-11-10,109.019997,109.330002,108.669998,108.830002,100.295105,27195500
2014-11-11,108.699997,109.750000,108.400002,109.699997,101.096870,27442300
2014-11-12,109.379997,111.430000,109.370003,111.250000,102.525322,46942400
2014-11-13,111.800003,113.449997,111.599998,112.820000,103.972198,59522900
2014-11-14,113.150002,114.190002,111.209999,114.180000,105.225540,44063600
2014-11-17,114.269997,117.279999,113.300003,113.989998,105.050430,46746700
2014-11-18,113.940002,115.690002,113.889999,115.470001,106.414368,44224000
2014-11-19,115.440002,115.739998,113.800003,114.669998,105.677094,41869200
2014-11-20,114.910004,116.860001,114.849998,116.309998,107.188477,43395500
2014-11-21,117.510002,117.570000,116.029999,116.470001,107.335945,57179300
2014-11-24,116.849998,118.769997,116.620003,118.629997,109.326523,47450800
2014-11-25,119.070000,119.750000,117.449997,117.599998,108.377327,68840400
2014-11-26,117.940002,119.099998,117.830002,119.000000,109.667534,40768300
2014-11-28,119.269997,119.400002,118.050003,118.930000,109.603027,24814400
2014-12-01,118.809998,119.250000,111.269997,115.070000,106.045738,83814000
2014-12-02,113.500000,115.750000,112.750000,114.629997,105.640228,59348900
2014-12-03,115.750000,116.349998,115.110001,115.930000,106.838287,43063400
2014-12-04,115.769997,117.199997,115.290001,115.489998,106.432808,42044500
2014-12-05,115.989998,116.080002,114.639999,115.000000,105.981209,38318900
2014-12-08,114.099998,114.650002,111.620003,112.400002,103.585136,57664900
